policy_id,policy_title,domain,state,district,source_type,source_name,respondent_type,comment_text,stance_label,sentiment_label,policy_domain,app_name,package_name,review_text,rating,file_name,word_count
P009,Digital India Mission,Digital_Governance,Uttar Pradesh,Lucknow,social_media_post,,NGO_rep,People in Lucknow often say that Digital India Mission looks good on paper but implementation is very weak based on their day-to-day experience.,Oppose,Negative,,,,,,,
P020,Goods and Services Tax (GST),Tax_Economy,Maharashtra,Mumbai,play_store_review,,farmer,"On the ground in Mumbai, it is observed that Goods and Services Tax (GST) has created more confusion than benefit for common people whenever the topic comes up in public meetings.",Oppose,Negative,,,,,,,
,,,,,,,,The percentage of current students confirming the better status of furniture had been slightly lower than that concerned with ex- students.,Neutral,,,,,,,Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,21.0
P007,National Education Policy 2020 (NEP 2020),Education_Reform,West Bengal,Kolkata,survey_feedback,,student,"In Kolkata, many students feel that National Education Policy 2020 (NEP 2020) has genuinely improved access for ordinary people according to informal surveys done by community groups.",Support,Positive,,,,,,,
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,West Bengal,Kolkata,news_comment,,citizen,People in Kolkata often say that Sukanya Samriddhi Account Scheme has genuinely improved access for ordinary people based on their day-to-day experience.,Support,Positive,,,,,,,
P002,NPEGEL – Girls Education Initiative,Girls_Education,Tamil Nadu,Chennai,survey_feedback,,student,"From the perspective of students in Chennai, NPEGEL – Girls Education Initiative feels more like a political advertisement than a real solution as reflected in recent conversations on social media.",Oppose,Negative,,,,,,,
P020,Goods and Services Tax (GST),Tax_Economy,Punjab,Ludhiana,play_store_review,,citizen,"On the ground in Ludhiana, it is observed that Goods and Services Tax (GST) needs proper monitoring and transparency before we can judge it according to informal surveys done by community groups.",Neutral,Neutral,,,,,,,
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Haryana,Gurugram,play_store_review,,official,"On the ground in Gurugram, it is observed that Sukanya Samriddhi Account Scheme could become effective if local officials take it seriously according to informal surveys done by community groups.",Neutral,Neutral,,,,,,,
P013,Atal Pension Yojana (APY),Social_Security,Delhi,New Delhi,news_comment,,NGO_rep,"From the perspective of NGO representatives in New Delhi, Atal Pension Yojana (APY) is not reaching the actual beneficiaries in our district as reflected in recent conversations on social media.",Oppose,Negative,,,,,,,
P019,Electric Vehicle (EV) Policy & FAME-II,Clean_Mobility,Uttar Pradesh,Lucknow,play_store_review,,official,People in Lucknow often say that Electric Vehicle (EV) Policy & FAME-II is not reaching the actual beneficiaries in our district based on their day-to-day experience.,Oppose,Negative,,,,,,,
P010,PM-KISAN Income Support Scheme,Farmer_Support,Uttar Pradesh,Lucknow,play_store_review,,farmer,"From the perspective of farmers in Lucknow, PM-KISAN Income Support Scheme has too much paperwork and corruption at local level according to informal surveys done by community groups.",Oppose,Negative,,,,,,,
P009,Digital India Mission,Digital_Governance,Uttar Pradesh,Lucknow,play_store_review,,parent,People in Lucknow often say that Digital India Mission is a step in the right direction and should be strengthened further when asked in local meetings and discussions.,Support,Positive,,,,,,,
P013,Atal Pension Yojana (APY),Social_Security,Haryana,Gurugram,social_media_post,,farmer,"On the ground in Gurugram, it is observed that Atal Pension Yojana (APY) could become effective if local officials take it seriously whenever the topic comes up in public meetings.",Neutral,Neutral,,,,,,,
P009,Digital India Mission,Digital_Governance,Punjab,Ludhiana,play_store_review,,farmer,People in Ludhiana often say that Digital India Mission could become effective if local officials take it seriously as reflected in recent conversations on social media.,Neutral,Neutral,,,,,,,
,,,,,,,,Immediate steps also have to be taken that the class rooms are protected from rain water entering the class rooms.,Neutral,,,,,,,Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,20.0
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Rajasthan,Jaipur,news_comment,,NGO_rep,"According to feedback collected in Jaipur, Mid-Day Meal Scheme (MDM) is still new and long-term results are not visible yet based on their day-to-day experience.",Neutral,Neutral,,,,,,,
P019,Electric Vehicle (EV) Policy & FAME-II,Clean_Mobility,Maharashtra,Mumbai,social_media_post,,farmer,"On the ground in Mumbai, it is observed that Electric Vehicle (EV) Policy & FAME-II has created more confusion than benefit for common people",Oppose,Negative,,,,,,,
P010,PM-KISAN Income Support Scheme,Farmer_Support,Punjab,Ludhiana,social_media_post,,official,"On the ground in Ludhiana, it is observed that PM-KISAN Income Support Scheme looks good on paper but implementation is very weak when asked in local meetings and discussions.",Oppose,Negative,,,,,,,
P014,National Food Security Act / PDS,Food_Security,Assam,Guwahati,news_comment,,employee,"According to feedback collected in Guwahati, National Food Security Act / PDS helps poor and middle-class families who had no support earlier based on their day-to-day experience.",Support,Positive,,,,,,,
,,,,,,,,depends,Neutral,,,,,,,,
P015,Beti Bachao Beti Padhao (BBBP),Women_Child,Uttar Pradesh,Lucknow,social_media_post,,farmer,"From the perspective of farmers in Lucknow, Beti Bachao Beti Padhao (BBBP) has potential but the government needs to fix practical issues",Neutral,Neutral,,,,,,,
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Punjab,Ludhiana,survey_feedback,,shopkeeper,People in Ludhiana often say that Mid-Day Meal Scheme (MDM) has mixed results and people are still trying to understand its impact whenever the topic comes up in public meetings.,Neutral,Neutral,,,,,,,
P006,Swachh Survekshan Grameen / Swachh Bharat,Sanitation_Rural,Uttar Pradesh,Lucknow,social_media_post,,parent,"From the perspective of parents in Lucknow, Swachh Survekshan Grameen / Swachh Bharat seems useful for some groups but others are left out as reflected in recent conversations on social media.",Neutral,Neutral,,,,,,,
P008,Ayushman Bharat – PM-JAY Health Insurance,Public_Health,Rajasthan,Jaipur,survey_feedback,,student,"In Jaipur, many students feel that Ayushman Bharat – PM-JAY Health Insurance feels more like a political advertisement than a real solution",Oppose,Negative,,,,,,,
P020,Goods and Services Tax (GST),Tax_Economy,Assam,Guwahati,play_store_review,,official,People in Guwahati often say that Goods and Services Tax (GST) is not reaching the actual beneficiaries in our district as reflected in recent conversations on social media.,Oppose,Negative,,,,,,,
P008,Ayushman Bharat – PM-JAY Health Insurance,Public_Health,Assam,Guwahati,survey_feedback,,parent,"According to feedback collected in Guwahati, Ayushman Bharat – PM-JAY Health Insurance seems useful for some groups but others are left out based on their day-to-day experience.",Neutral,Neutral,,,,,,,
,,,,,,,," Most of the school teachers also reported that the teaching, learning and attitude of the students have become inclusive.",Neutral,,,,,,,"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",20.0
P003,RTE Act 12(1)(c) – EWS Quota,School_Access,Uttar Pradesh,Lucknow,survey_feedback,,farmer,People in Lucknow often say that RTE Act 12(1)(c) – EWS Quota needs proper monitoring and transparency before we can judge it,Neutral,Neutral,,,,,,,
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Karnataka,Bengaluru,survey_feedback,,citizen,"In Bengaluru, many citizens feel that Sukanya Samriddhi Account Scheme has genuinely improved access for ordinary people according to informal surveys done by community groups.",Support,Positive,,,,,,,
,,,,,,,,"These include Chhattisgarh, Goa, Himachal Pradesh, Jharkhand, Lakshadweep, Meghalaya, Mizoram, Tripura, and Uttarakhand.",Neutral,,,,,,,State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,13.0
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Haryana,Gurugram,news_comment,,citizen,"From the perspective of citizens in Gurugram, Mid-Day Meal Scheme (MDM) has genuinely improved access for ordinary people when asked in local meetings and discussions.",Support,Positive,,,,,,,
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Tamil Nadu,Chennai,play_store_review,,student,"On the ground in Chennai, it is observed that Mid-Day Meal Scheme (MDM) seems useful for some groups but others are left out as reflected in recent conversations on social media.",Neutral,Neutral,,,,,,,
P015,Beti Bachao Beti Padhao (BBBP),Women_Child,Haryana,Gurugram,play_store_review,,shopkeeper,People in Gurugram often say that Beti Bachao Beti Padhao (BBBP) is one of the few schemes that actually reaches villages as reflected in recent conversations on social media.,Support,Positive,,,,,,,
P004,Kasturba Gandhi Balika Vidyalaya (KGBV),Residential_Girls_Education,Rajasthan,Jaipur,survey_feedback,,farmer,"From the perspective of farmers in Jaipur, Kasturba Gandhi Balika Vidyalaya (KGBV) reduced our daily struggles and brought some relief when asked in local meetings and discussions.",Support,Positive,,,,,,,
P003,RTE Act 12(1)(c) – EWS Quota,School_Access,Delhi,New Delhi,play_store_review,,employee,"In New Delhi, many employees feel that RTE Act 12(1)(c) – EWS Quota feels more like a political advertisement than a real solution according to informal surveys done by community groups.",Oppose,Negative,,,,,,,
,,,,,,,,As some parents could not pay for the text books and uniforms etc.,Neutral,,,,,,,"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",13.0
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Chhattisgarh,Raipur,focus_group,FGD with Panchayat,student,Many toilets are unused due to water shortage.,Oppose,Negative,,,,,,,
P020,Goods and Services Tax (GST),Tax_Economy,Haryana,Gurugram,play_store_review,,employee,People in Gurugram often say that Goods and Services Tax (GST) looks good on paper but implementation is very weak when asked in local meetings and discussions.,Oppose,Negative,,,,,,,
P015,Beti Bachao Beti Padhao (BBBP),Women_Child,West Bengal,Kolkata,social_media_post,,teacher,"On the ground in Kolkata, it is observed that Beti Bachao Beti Padhao (BBBP) looks good on paper but implementation is very weak according to informal surveys done by community groups.",Oppose,Negative,,,,,,,
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Karnataka,Bengaluru,survey_feedback,,parent,"From the perspective of parents in Bengaluru, National Education Policy 2020 (NEP 2020) is one of the few schemes that actually reaches villages as reflected in recent conversations on social media.",Support,Positive,,,,,,,
P008,Ayushman Bharat – PM-JAY Health Insurance,Public_Health,Punjab,Ludhiana,social_media_post,,employee,People in Ludhiana often say that Ayushman Bharat – PM-JAY Health Insurance is a step in the right direction and should be strengthened further as reflected in recent conversations on social media.,Support,Positive,,,,,,,
P006,Swachh Survekshan Grameen / Swachh Bharat,Sanitation_Rural,Haryana,Gurugram,play_store_review,,teacher,People in Gurugram often say that Swachh Survekshan Grameen / Swachh Bharat is a step in the right direction and should be strengthened further whenever the topic comes up in public meetings.,Support,Positive,,,,,,,
P004,Kasturba Gandhi Balika Vidyalaya (KGBV),Residential_Girls_Education,Karnataka,Bengaluru,news_comment,,parent,"On the ground in Bengaluru, it is observed that Kasturba Gandhi Balika Vidyalaya (KGBV) is one of the few schemes that actually reaches villages whenever the topic comes up in public meetings.",Support,Positive,,,,,,,
P016,Jal Jeevan Mission (JJM),Drinking_Water,Punjab,Ludhiana,survey_feedback,,employee,"From the perspective of employees in Ludhiana, Jal Jeevan Mission (JJM) seems useful for some groups but others are left out whenever the topic comes up in public meetings.",Neutral,Neutral,,,,,,,
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Maharashtra,Mumbai,play_store_review,,shopkeeper,People in Mumbai often say that Mid-Day Meal Scheme (MDM) looks good on paper but implementation is very weak as reflected in recent conversations on social media.,Oppose,Negative,,,,,,,
P004,Kasturba Gandhi Balika Vidyalaya (KGBV),Residential_Girls_Education,West Bengal,Kolkata,survey_feedback,,NGO_rep,People in Kolkata often say that Kasturba Gandhi Balika Vidyalaya (KGBV) needs proper monitoring and transparency before we can judge it whenever the topic comes up in public meetings.,Neutral,Neutral,,,,,,,
P004,Kasturba Gandhi Balika Vidyalaya (KGBV),Residential_Girls_Education,Delhi,New Delhi,social_media_post,,citizen,"According to feedback collected in New Delhi, Kasturba Gandhi Balika Vidyalaya (KGBV) reduced our daily struggles and brought some relief according to informal surveys done by community groups.",Support,Positive,,,,,,,
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Maharashtra,Mumbai,social_media_post,,NGO_rep,People in Mumbai often say that Sukanya Samriddhi Account Scheme helps poor and middle-class families who had no support earlier as reflected in recent conversations on social media.,Support,Positive,,,,,,,
P015,Beti Bachao Beti Padhao (BBBP),Women_Child,Haryana,Gurugram,social_media_post,,employee,People in Gurugram often say that Beti Bachao Beti Padhao (BBBP) is still new and long-term results are not visible yet when asked in local meetings and discussions.,Neutral,Neutral,,,,,,,
P013,Atal Pension Yojana (APY),Social_Security,Uttar Pradesh,Lucknow,social_media_post,,NGO_rep,People in Lucknow often say that Atal Pension Yojana (APY) is still new and long-term results are not visible yet,Neutral,Neutral,,,,,,,
P017,Smart Cities Mission,Urban_Infra,Tamil Nadu,Chennai,news_comment,,shopkeeper,"According to feedback collected in Chennai, Smart Cities Mission has mixed results and people are still trying to understand its impact according to informal surveys done by community groups.",Neutral,Neutral,,,,,,,
,,,,,,,,It is essential that all the hostel buildings are kept in good condition for comfortable living of the girls and to attract the girls to stay there and study.,Neutral,,,,,,,Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,29.0
P012,PM Awas Yojana (PMAY) – Housing for All,Housing,Tamil Nadu,Chennai,survey_feedback,,NGO_rep,"According to feedback collected in Chennai, PM Awas Yojana (PMAY) – Housing for All has mixed results and people are still trying to understand its impact as reflected in recent conversations on social media.",Neutral,Neutral,,,,,,,
P013,Atal Pension Yojana (APY),Social_Security,Punjab,Ludhiana,survey_feedback,,employee,"On the ground in Ludhiana, it is observed that Atal Pension Yojana (APY) is one of the few schemes that actually reaches villages based on their day-to-day experience.",Support,Positive,,,,,,,
P016,Jal Jeevan Mission (JJM),Drinking_Water,Maharashtra,Mumbai,news_comment,,official,"On the ground in Mumbai, it is observed that Jal Jeevan Mission (JJM) has genuinely improved access for ordinary people",Support,Positive,,,,,,,
P015,Beti Bachao Beti Padhao (BBBP),Women_Child,Haryana,Gurugram,social_media_post,,shopkeeper,"From the perspective of shopkeepers in Gurugram, Beti Bachao Beti Padhao (BBBP) has created more confusion than benefit for common people according to informal surveys done by community groups.",Oppose,Negative,,,,,,,
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Haryana,Rohtak,survey_report,Survey – School Meals,investor,Waste disposal systems exist but are poorly maintained.,Oppose,Negative,,,,,,,
,,,,,,,,"After passing class VIII from KGBV Gobardhana, she got admitted in class IX at Dakshin Bijni Adarsha Vidyapeeth HS School.",Neutral,,,,,,,Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,20.0
P018,Data Protection / DPDP Act,Data_Protection,Maharashtra,Mumbai,news_comment,,parent,"According to feedback collected in Mumbai, Data Protection / DPDP Act looks good on paper but implementation is very weak based on their day-to-day experience.",Oppose,Negative,,,,,,,
P019,Electric Vehicle (EV) Policy & FAME-II,Clean_Mobility,Assam,Guwahati,news_comment,,teacher,People in Guwahati often say that Electric Vehicle (EV) Policy & FAME-II is one of the few schemes that actually reaches villages,Support,Positive,,,,,,,
P015,Beti Bachao Beti Padhao (BBBP),Women_Child,Tamil Nadu,Chennai,news_comment,,farmer,"According to feedback collected in Chennai, Beti Bachao Beti Padhao (BBBP) has created more confusion than benefit for common people whenever the topic comes up in public meetings.",Oppose,Negative,,,,,,,
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Tamil Nadu,Chennai,social_media_post,,NGO_rep,"According to feedback collected in Chennai, Sukanya Samriddhi Account Scheme seems useful for some groups but others are left out according to informal surveys done by community groups.",Neutral,Neutral,,,,,,,
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Assam,Guwahati,news_comment,,employee,People in Guwahati often say that Mid-Day Meal Scheme (MDM) has potential but the government needs to fix practical issues based on their day-to-day experience.,Neutral,Neutral,,,,,,,
P006,Swachh Survekshan Grameen / Swachh Bharat,Sanitation_Rural,Haryana,Gurugram,news_comment,,citizen,"From the perspective of citizens in Gurugram, Swachh Survekshan Grameen / Swachh Bharat has created more confusion than benefit for common people when asked in local meetings and discussions.",Oppose,Negative,,,,,,,
P009,Digital India Mission,Digital_Governance,Haryana,Gurugram,survey_feedback,,official,People in Gurugram often say that Digital India Mission has many loopholes and people are being harassed instead of helped when asked in local meetings and discussions.,Oppose,Negative,,,,,,,
P014,National Food Security Act / PDS,Food_Security,Rajasthan,Jaipur,survey_feedback,,farmer,"According to feedback collected in Jaipur, National Food Security Act / PDS feels more like a political advertisement than a real solution according to informal surveys done by community groups.",Oppose,Negative,,,,,,,
P014,National Food Security Act / PDS,Food_Security,West Bengal,Kolkata,survey_feedback,,student,"According to feedback collected in Kolkata, National Food Security Act / PDS is still new and long-term results are not visible yet whenever the topic comes up in public meetings.",Neutral,Neutral,,,,,,,
P010,PM-KISAN Income Support Scheme,Farmer_Support,Karnataka,Bengaluru,social_media_post,,citizen,"In Bengaluru, many citizens feel that PM-KISAN Income Support Scheme has made real difference on the ground in our area whenever the topic comes up in public meetings.",Support,Positive,,,,,,,
P016,Jal Jeevan Mission (JJM),Drinking_Water,Tamil Nadu,Chennai,social_media_post,,farmer,People in Chennai often say that Jal Jeevan Mission (JJM) has too much paperwork and corruption at local level as reflected in recent conversations on social media.,Oppose,Negative,,,,,,,
P019,Electric Vehicle (EV) Policy & FAME-II,Clean_Mobility,Tamil Nadu,Chennai,survey_feedback,,shopkeeper,"In Chennai, many shopkeepers feel that Electric Vehicle (EV) Policy & FAME-II feels more like a political advertisement than a real solution",Oppose,Negative,,,,,,,
,,,,,,,,"Items using chemical additives and preservatives such as fast food, pickles, and tinned products are eschewed due to health reasons.",Neutral,,,,,,,State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,20.0
P014,National Food Security Act / PDS,Food_Security,Delhi,New Delhi,social_media_post,,shopkeeper,"In New Delhi, many shopkeepers feel that National Food Security Act / PDS needs proper monitoring and transparency before we can judge it",Neutral,Neutral,,,,,,,
,,,,,,,,Ed Degree which makes them professionally qualified to become a regular teacher.,Neutral,,,,,,,Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,12.0
P008,Ayushman Bharat – PM-JAY Health Insurance,Public_Health,Haryana,Gurugram,social_media_post,,shopkeeper,"From the perspective of shopkeepers in Gurugram, Ayushman Bharat – PM-JAY Health Insurance has created more confusion than benefit for common people",Oppose,Negative,,,,,,,
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Rajasthan,Jaipur,news_comment,,parent,"From the perspective of parents in Jaipur, National Education Policy 2020 (NEP 2020) has mixed results and people are still trying to understand its impact according to informal surveys done by community groups.",Neutral,Neutral,,,,,,,
P014,National Food Security Act / PDS,Food_Security,Rajasthan,Jaipur,news_comment,,farmer,"According to feedback collected in Jaipur, National Food Security Act / PDS could become effective if local officials take it seriously whenever the topic comes up in public meetings.",Neutral,Neutral,,,,,,,
P004,Kasturba Gandhi Balika Vidyalaya (KGBV),Residential_Girls_Education,Punjab,Ludhiana,play_store_review,,shopkeeper,"According to feedback collected in Ludhiana, Kasturba Gandhi Balika Vidyalaya (KGBV) seems useful for some groups but others are left out as reflected in recent conversations on social media.",Neutral,Neutral,,,,,,,
P004,Kasturba Gandhi Balika Vidyalaya (KGBV),Residential_Girls_Education,Assam,Guwahati,social_media_post,,farmer,"From the perspective of farmers in Guwahati, Kasturba Gandhi Balika Vidyalaya (KGBV) has genuinely improved access for ordinary people based on their day-to-day experience.",Support,Positive,,,,,,,
